endTime,artistName,trackName,msPlayed,uri
2021-05-22 18:50,San Holo,Honest - Midnight Kids Remix,224000,442VuQw3fOKwvbxYLIDAUi
2021-05-22 18:52,Calvin Harris,One Kiss (with Dua Lipa) - Oliver Heldens Remix,111381,7b4vbqgzMhbFa0wdjfftQJ
2021-05-22 19:49,Calvin Harris,One Kiss (with Dua Lipa) - Oliver Heldens Remix,405,7b4vbqgzMhbFa0wdjfftQJ
2021-05-22 19:51,Beyoncé,Crazy In Love - Homecoming Live,167347,10OaEuICuFoKLq48NoMblA
2021-05-22 19:52,BANKS,Beggin For Thread - Gryffin & Hotel Garuda Remix,17443,6L6bYryIY36a32KDToM7M2
2021-05-22 19:54,Beyoncé,Diva - Homecoming Live,165872,7eOG24Nx7j4nI3f9nOZTOi
2021-05-22 19:55,Zara Larsson,I Would Like,9452,4Q4jmPHwu0wrJvqrld0FQ6
2021-05-22 19:55,Harry Styles,Adore You,16701,3jjujdWJ72nww5eGnfs2E7
2021-05-22 19:58,Beyoncé,Welcome - Homecoming Live,190873,7Hz87DF2VCuSVS2iO1z0Nr
2021-05-22 20:00,Beyoncé,Mi Gente - Homecoming Live,114517,2iGIBnofyVatf7cjtyIGlI
2021-05-22 22:59,Beyoncé,Welcome - Homecoming Live,4780,7Hz87DF2VCuSVS2iO1z0Nr
2021-05-22 22:59,Beyoncé,Mi Gente - Homecoming Live,32588,2iGIBnofyVatf7cjtyIGlI
2021-05-22 23:02,Beyoncé,Crazy In Love - Homecoming Live,167347,10OaEuICuFoKLq48NoMblA
2021-05-22 23:04,Beyoncé,Lift Ev'ry Voice and Sing - Homecoming Live,5964,0QRxJvOohS8yiGC1n98uFM
2021-05-22 23:04,Beyoncé,Freedom - Homecoming Live,114370,2NTp1e0sRMHiw368rfCGvE
2021-05-22 23:08,Beyoncé,Formation - Homecoming Live,262831,6oHexA34fw1WfswjIEA1hd
2021-05-22 23:09,Beyoncé,So Much Damn Swag - Interlude - Homecoming Live,59056,6pLlQE4Ypn9zQBCe16UskF
2021-05-22 23:16,Beyoncé,Sorry - Homecoming Live,393524,1GWk2MHsycvbyOFaWFiOMk
